"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
"1:1" "P02" 4019983 "Run1" 1 "0%" "0" 0 2 0 1 0.0311003
"1:2" "P02" 4044719 "Run1" 2 "50%" "0" 0 17 0 1 0.0246419
"1:3" "P02" 4070032 "Run1" 3 "50%" "0" 0 6 0 1 0.0247742
"1:4" "P02" 4093439 "Run1" 4 "25%" "0" 0 9 0 1 0.0251721
"1:5" "P02" 4118743 "Run1" 5 "100%" "3" 1 0 41 1 0.0220405
"1:6" "P02" 4150479 "Run1" 6 "0%" "0" 0 9 0 1 0.0299685
"1:7" "P02" 4175575 "Run1" 7 "75%" "0" 0 36 0 1 0.0263308
"1:8" "P02" 4201623 "Run1" 8 "25%" "0" 0 20 0 1 0.030939
"1:9" "P02" 4225455 "Run1" 9 "50%" "1" 1 0 25 1 0.0308344
"1:10" "P02" 4249447 "Run1" 10 "100%" "1" 1 0 27 1 0.0284649
"1:11" "P02" 4274983 "Run1" 11 "0%" "0" 0 58 0 1 0.032438
"1:12" "P02" 4299839 "Run1" 12 "25%" "0" 0 33 0 1 0.0338931
"1:13" "P02" 4327968 "Run1" 13 "75%" "2" 1 0 38 1 0.0346131
"1:14" "P02" 4352279 "Run1" 14 "100%" "2" 1 0 35 1 0.0308099
"1:15" "P02" 4377055 "Run1" 15 "50%" "0" 0 59 0 1 0.0309548
"1:16" "P02" 4402015 "Run1" 16 "75%" "0" 0 59 0 1 0.0327633
"1:17" "P02" 4422903 "Run1" 17 "75%" "0" 0 57 0 1 0.0368365
"1:18" "P02" 4450543 "Run1" 18 "25%" "3" 1 0 39 1 0.0323389
"1:19" "P02" 4549502 "Run2" 1 "100%" "1" 1 0 16 1 0.0243654
"1:20" "P02" 4574150 "Run2" 2 "50%" "3" 1 0 58 1 0.0221361
"1:21" "P02" 4601382 "Run2" 3 "50%" "0" 0 48 0 1 0.0206951
"1:22" "P02" 4625846 "Run2" 4 "75%" "0" 0 7 0 1 0.0244803
"1:23" "P02" 4650775 "Run2" 5 "25%" "0" 0 8 0 1 0.0254588
"1:24" "P02" 4672887 "Run2" 6 "50%" "0" 0 55 0 1 0.0278337
"1:25" "P02" 4696358 "Run2" 7 "50%" "0" 0 10 0 1 0.0258103
