"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
"1:1" "P02" 4019983 "Run1" 1 "0%" "0" 0 2 0 1 0.0301378
"1:2" "P02" 4044719 "Run1" 2 "50%" "0" 0 17 0 1 0.0277087
"1:3" "P02" 4070032 "Run1" 3 "50%" "0" 0 6 0 1 0.0230648
"1:4" "P02" 4093439 "Run1" 4 "25%" "0" 0 9 0 1 0.0294103
"1:5" "P02" 4118743 "Run1" 5 "100%" "3" 1 0 41 1 0.0213128
"1:6" "P02" 4150479 "Run1" 6 "0%" "0" 0 9 0 1 0.0312546
"1:7" "P02" 4175575 "Run1" 7 "75%" "0" 0 36 0 1 0.0239132
"1:8" "P02" 4201623 "Run1" 8 "25%" "0" 0 20 0 1 0.0301148
"1:9" "P02" 4225455 "Run1" 9 "50%" "1" 1 0 25 1 0.0335833
"1:10" "P02" 4249447 "Run1" 10 "100%" "1" 1 0 27 1 0.0328144
"1:11" "P02" 4274983 "Run1" 11 "0%" "0" 0 58 0 1 0.0296456
"1:12" "P02" 4299839 "Run1" 12 "25%" "0" 0 33 0 1 0.0326411
"1:13" "P02" 4327968 "Run1" 13 "75%" "2" 1 0 38 1 0.034874
"1:14" "P02" 4352279 "Run1" 14 "100%" "2" 1 0 35 1 0.0365497
"1:15" "P02" 4377055 "Run1" 15 "50%" "0" 0 59 0 1 0.0305113
"1:16" "P02" 4402015 "Run1" 16 "75%" "0" 0 59 0 1 0.0336021
"1:17" "P02" 4422903 "Run1" 17 "75%" "0" 0 57 0 1 0.0357008
"1:18" "P02" 4450543 "Run1" 18 "25%" "3" 1 0 39 1 0.0377087
"1:19" "P02" 4549502 "Run2" 1 "100%" "1" 1 0 16 1 0.031234
"1:20" "P02" 4574150 "Run2" 2 "50%" "3" 1 0 58 1 0.0289898
"1:21" "P02" 4601382 "Run2" 3 "50%" "0" 0 48 0 1 0.018543
"1:22" "P02" 4625846 "Run2" 4 "75%" "0" 0 7 0 1 0.0244244
"1:23" "P02" 4650775 "Run2" 5 "25%" "0" 0 8 0 1 0.0238053
"1:24" "P02" 4672887 "Run2" 6 "50%" "0" 0 55 0 1 0.0305914
"1:25" "P02" 4696358 "Run2" 7 "50%" "0" 0 10 0 1 0.0251727
"1:26" "P02" 4719918 "Run2" 8 "100%" "2" 1 0 32 1 0.0241431
"1:27" "P02" 4741518 "Run2" 9 "100%" "3" 1 0 60 1 0.0319093
"1:28" "P02" 4766234 "Run2" 10 "75%" "1" 1 0 12 1 0.0244726
"1:29" "P02" 4788862 "Run2" 11 "25%" "0" 0 36 0 1 0.0247307
"1:30" "P02" 4810430 "Run2" 12 "75%" "0" 0 44 0 1 0.0246935
"1:31" "P02" 4833518 "Run2" 13 "0%" "0" 0 0 0 1 0.0179656
